Time,Background,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10
156,2886.212,2920.222,2931.417,2907.606,2921.101,2982.299,2900.346,2921.944,3035.91,2949.04,2917.804
157,2886.541,2922.144,2932.756,2911.109,2923.567,2978.023,2899.559,2920.952,3036.019,2946.89,2915.604
158,2890.856,2922.907,2930.045,2911.372,2920.529,2982.802,2901.434,2925.734,3026.224,2951.276,2918.579
159,2890.466,2922.255,2935.494,2908.891,2919.851,2983.051,2904.125,2921.556,3036,2951.281,2918.221
160,2888.822,2920.5,2927.282,2908.876,2917.534,2987.469,2903.485,2919.653,3041.167,2952.592,2917.483
161,2889.404,2921.921,2930.994,2914.161,2921.375,2980.876,2895.706,2929.605,3036.801,2961.232,2920.946
162,2891.253,2924.801,2934.378,2914.139,2921.779,2982.13,2901.493,2922.169,3035.737,2958.79,2920.904
163,2892.726,2919.843,2933.942,2911.387,2917.211,2985.277,2901.375,2918.468,3032.923,2956.706,2918.758
164,2889.493,2918.5,2933.942,2909.905,2915.75,2985.921,2902.213,2922.476,3034.34,2964.469,2919.579
165,2890.747,2925.477,2930.461,2913.153,2914.899,2985.102,2904.338,2923.782,3038.199,2966.048,2921.625
166,2887.294,2923.87,2940.013,2915.438,2915.082,2981.768,2901.897,2923.645,3031.154,2962.596,2919.658
167,2891.822,2927.898,2936.25,2915.934,2913.933,2979.04,2902.779,2927.395,3033.955,2968.759,2923.979
168,2890.356,2923.125,2935.5,2917.38,2914.654,2977.915,2904.007,2923.564,3020.833,2970.342,2921.337
169,2888.226,2922.458,2935.532,2916.664,2916.289,2975.192,2901.853,2923.968,3013.314,2965.013,2924.525
170,2892.199,2921.361,2935.558,2912.715,2920.832,2975.011,2905.618,2921.814,3009.032,2962.706,2923.846
171,2892.281,2926.366,2935.782,2914.949,2920.543,2976.791,2903.743,2924.903,2999.237,2962.408,2926.4
172,2890.938,2924.588,2936.859,2921.387,2920.014,2976.113,2903.941,2927.492,3004.929,2964.605,2926.896
173,2894.301,2926.514,2937.942,2918.723,2917.664,2976.311,2901.765,2923.363,3011.763,2966.829,2925.033
174,2891.774,2923.62,2933.75,2916.591,2918.332,2970.124,2902.654,2922.774,3013.314,2964.268,2927.996
175,2891.055,2925.269,2935.429,2914.65,2921.341,2970.904,2905.684,2926.234,3021.827,2968.167,2930.104
176,2888.623,2924.88,2935.5,2915.117,2921.135,2974.175,2904.493,2926.839,3027.699,2966.101,2926.721
177,2889.308,2921.042,2935.949,2913.956,2918.346,2971.542,2904.147,2923.089,3031.756,2970.281,2927.225
178,2886.151,2924.333,2932.449,2914.219,2912.106,2962.396,2903.809,2921.911,3032.167,2968.719,2922.521
179,2889.151,2923.583,2937.917,2915.891,2917.289,2969.932,2904.463,2921.29,3037.308,2968.838,2922.571
180,2887.719,2922.829,2935.41,2917.131,2924.784,2972.446,2903.838,2922.613,3036.532,2966.482,2926.729
181,2890.589,2925.056,2936.539,2914.723,2920.938,2972.469,2903.073,2925.516,3044.558,2968.882,2923.571
182,2889.027,2923.981,2933.199,2920.861,2918.664,2969.282,2905.603,2921.645,3044.314,2973.39,2922.558
183,2888.206,2927.204,2933.635,2913.891,2921.322,2972.531,2904.787,2923.194,3044.628,2967.794,2923.371
184,2892.856,2929.264,2932.885,2915.453,2919.961,2971.051,2906.713,2927.492,3043.064,2964.281,2921.229
185,2888.199,2920.125,2930.077,2913.095,2913.909,2967.531,2903.831,2919.726,3032.699,2966.206,2915.225
186,2885.13,2924.037,2939.135,2915.124,2913.668,2967.797,2903.441,2927.145,3040.09,2960.768,2921.15
187,2893.206,2924.968,2935.077,2908.883,2911.466,2967.689,2902.757,2926.871,3034.423,2963.259,2923.179
188,2893.767,2926.06,2935.211,2915.876,2913.389,2967.215,2904.037,2925.774,3027.378,2968.105,2921.154
189,2888.699,2925.125,2937.256,2913.876,2913.423,2966.74,2905.5,2923.734,3039.16,2961.535,2919.033
190,2892.219,2925.963,2936.16,2919.825,2917.529,2964.378,2904.037,2925.016,3038,2959.026,2921.45
191,2890.452,2924.662,2938.026,2915.131,2915.269,2966.599,2901.971,2922.282,3040.487,2962.68,2916.542
192,2891.548,2927.944,2935.711,2919.467,2916.789,2975.701,2908.397,2925.073,3037.263,2956.846,2919.533
193,2892.048,2925.449,2934.814,2917.423,2914.904,2964.164,2905.25,2927.694,3034.987,2959.206,2917.212
194,2887.931,2926.593,2938.628,2915.036,2914.909,2969.661,2906.022,2925.831,3037.731,2959.031,2920.633
195,2893.993,2924.907,2940.026,2916.416,2914.635,2965.232,2905.809,2926.137,3032.039,2954.583,2917.371
196,2891.541,2926.222,2937.006,2916,2916.072,2974.412,2907.787,2923.194,3037.981,2955.812,2922.154
197,2891.657,2926.338,2938.551,2915.511,2925.053,2974.39,2905.779,2928.331,3032,2954.982,2926.504
198,2894.274,2926.06,2934.679,2918.109,2922.5,2972.802,2907.669,2924.387,3028.647,2954.763,2918.654
199,2888.884,2923.343,2933.628,2911.599,2921.13,2969.486,2907.882,2923.823,3034.013,2952.04,2919.971
200,2891.671,2924.75,2934.026,2915.212,2922.029,2973.028,2906.213,2928.194,3037.994,2951.61,2915.783
201,2888.041,2926.741,2936.987,2916.65,2919.014,2969.051,2905,2926.258,3038.128,2959.057,2920.321
202,2891.096,2926.463,2937.699,2914.715,2920.298,2966.808,2905.86,2925.121,3047.026,2955.71,2920.858
203,2894.836,2927.287,2937.711,2911.445,2921.351,2964.588,2906.963,2926.073,3036.808,2960.21,2920.183
204,2889.007,2924.88,2935.224,2916.599,2921.904,2960.475,2906.596,2927.903,3039,2954.956,2914.396
205,2890.164,2924.394,2939.199,2914.73,2918.74,2960.469,2902.154,2923.847,3026.135,2956.64,2921.917
206,2892.76,2924.556,2938.378,2916.891,2922.034,2960.921,2902.529,2925.04,3033.603,2953.531,2918.742
207,2890.692,2929.713,2934.167,2918.321,2928.601,2963.458,2906.934,2929.871,3036.929,2953.412,2920.829
208,2892.288,2926.903,2935.5,2916.942,2924.986,2967.412,2905.948,2925.855,3033,2960.053,2917.671
209,2891.103,2927.222,2934.109,2911.686,2925.274,2978.582,2903.691,2924.742,3039.622,2962.136,2919.758
210,2891.76,2926.69,2933.667,2914.978,2921.183,2975.859,2905.654,2924.395,3035.942,2954.79,2919.821
211,2886.904,2927.611,2936.455,2915.54,2920.664,2972.469,2898.044,2924.694,3033.833,2950.127,2916.104
212,2891.61,2926.009,2937.026,2915.781,2921.289,2986.181,2900.809,2925.742,3039.615,2954.412,2917.804
213,2896.404,2928.241,2937.571,2917.555,2926.875,3007.282,2908.448,2924.992,3041.833,2953.145,2919.446
214,2892.288,2926.833,2940.231,2913.62,2920.639,3003.813,2902.971,2927.492,3038.994,2952.715,2916.913
215,2891.233,2926.264,2935.314,2912.599,2924.216,3004.808,2903.478,2924.347,3035.321,2959.408,2915.904
216,2891.226,2926.963,2934.968,2913.35,2920.043,3012.13,2906.029,2924.129,3033.622,2960.654,2922.804
217,2891.637,2925.597,2938.077,2916.898,2920.24,3008.073,2899.669,2925.218,3032.468,2955.263,2923.242
218,2888.911,2928.94,2933.711,2914.62,2922.841,2998.701,2905.022,2928.064,3040.539,2962.522,2921.85
219,2892.137,2927.523,2936.449,2918.796,2923.091,2995.622,2906.573,2922.524,3028.731,2963.013,2922.221
220,2888.226,2924,2937.782,2913.898,2923.37,2995.412,2902.353,2924.742,3036.955,2963.662,2921.742
221,2893.377,2925.755,2937.026,2917.358,2920.019,3001.785,2901.485,2926.016,3041.904,2962.781,2921.546
222,2886.781,2926.463,2940.673,2912.65,2919.577,3003.26,2904.89,2924.524,3037.519,2963.794,2918.725
223,2891.719,2925.824,2934.314,2915.35,2918.961,3015.062,2902.507,2918.694,3039.128,2968.176,2918.492
224,2887.596,2921.227,2933.679,2908.657,2915.404,3019.169,2904.103,2919.75,3038.647,2964.627,2917.821
225,2888.301,2921.315,2932.904,2906.745,2913.664,3018.588,2901.802,2917.21,3043.141,2958.035,2914.075
226,2891.294,2925.634,2935.519,2915.19,2909.279,3027.757,2901.772,2924.403,3040.16,2952.04,2922.071
227,2891.253,2923.769,2931.724,2915.526,2912.861,3033.701,2905.919,2920.903,3031.936,2946.162,2919.042
228,2897.26,2927.556,2936.763,2919.299,2922.644,3031.819,2906.169,2928.008,3040.058,2953.71,2922.212
229,2890.404,2929.069,2940.301,2924.423,2914.774,3035.418,2906.5,2924.992,3030.064,2952.167,2924.821
230,2890.075,2925.505,2935.186,2920.234,2911.711,3021.893,2903.5,2926.234,3035.237,2944.478,2916.717
231,2893.26,2926.556,2940.737,2921.657,2915.971,3025.497,2905.11,2927.016,3028.551,2946.982,2925.217
232,2890.548,2927.949,2937.263,2921.774,2913.303,3015.678,2904.029,2928.927,3034.058,2948.864,2921.117
233,2890.719,2925.403,2937.263,2922.876,2915.673,3026.78,2903.603,2925.75,3042.692,2944.741,2920.096
234,2895.11,2924.588,2937.737,2921.898,2913.639,3034.548,2903,2924.927,3039.045,2955.456,2920.95
235,2893.884,2926.407,2937.654,2926.35,2911.755,3033.588,2907.272,2924.936,3042.449,2950.684,2919.288
236,2893.623,2926.347,2940.032,2923.175,2910.745,3026.729,2910.059,2924.637,3047.154,2957.706,2917.517
237,2889.199,2924.606,2933.936,2920.489,2908.673,3020.153,2900.654,2923.032,3038.949,2958.259,2918.512
238,2890.007,2926.009,2937.814,2920.044,2907.615,3010.135,2901.184,2923.298,3045.308,2962.105,2920.396
239,2896.644,2926.565,2938.929,2925.715,2910.716,3016.774,2905.015,2927.992,3054.083,2956.083,2919.9
240,2897.206,2929.667,2937.051,2918.423,2915.226,3008.672,2902.603,2924.831,3045.417,2952.176,2921.625
